Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/06/16,07:15:00,14.7260,78.624,,,,
04/06/16,07:30:00,14.7283,78.624,,,,
04/06/16,07:45:00,14.7332,78.624,,,,
04/06/16,08:00:00,14.7406,78.624,,,,
04/06/16,08:15:00,14.7412,78.800,,,,
04/06/16,08:30:00,14.7412,78.800,,,,
04/06/16,08:45:00,14.7416,78.975,,,,
04/06/16,09:00:00,14.7398,79.151,,,,
04/06/16,09:15:00,14.7380,79.326,,,,
04/06/16,09:30:00,14.7409,79.502,,,,
04/06/16,09:45:00,14.7384,79.502,,,,
04/06/16,10:00:00,14.7342,79.678,,,,
04/06/16,10:15:00,14.7318,79.678,,,,
04/06/16,10:30:00,14.7324,79.853,,,,
04/06/16,10:45:00,14.7286,80.206,,,,
04/06/16,11:00:00,14.7273,80.559,,,,
04/06/16,11:15:00,14.7241,81.090,,,,
04/06/16,11:30:00,14.7173,81.266,,,,
04/06/16,11:45:00,14.7167,81.090,,,,
04/06/16,12:00:00,14.7138,80.911,,,,
04/06/16,12:15:00,14.7089,80.911,,,,
04/06/16,12:30:00,14.7015,80.911,,,,
04/06/16,12:45:00,14.6996,81.090,,,,
04/06/16,13:00:00,14.6973,81.090,,,,
04/06/16,13:15:00,14.6923,81.090,,,,
04/06/16,13:30:00,14.6899,81.090,,,,
04/06/16,13:45:00,14.6923,81.090,,,,
04/06/16,14:00:00,14.6849,81.090,,,,
04/06/16,14:15:00,14.6849,81.090,,,,
04/06/16,14:30:00,14.6820,80.911,,,,
04/06/16,14:45:00,14.6820,80.911,,,,
04/06/16,15:00:00,14.6796,80.911,,,,
04/06/16,15:15:00,14.6771,80.911,,,,
04/06/16,15:30:00,14.6814,80.735,,,,
04/06/16,15:45:00,14.6740,80.735,,,,
04/06/16,16:00:00,14.6710,80.559,,,,
04/06/16,16:07:00,,,,Logged,,
04/06/16,16:07:01,,,,,Logged,
04/06/16,16:08:01,,,Logged,,,
04/06/16,16:15:00,14.6752,81.090,,,,
04/06/16,16:30:00,14.6759,80.559,,,,
04/06/16,16:45:00,14.6778,80.382,,,,
04/06/16,17:00:00,14.6803,80.382,,,,
04/06/16,17:15:00,14.6772,80.206,,,,
04/06/16,17:30:00,14.6748,80.206,,,,
04/06/16,17:45:00,14.6742,80.029,,,,
04/06/16,18:00:00,14.6742,80.029,,,,
04/06/16,18:15:00,14.6719,80.029,,,,
04/06/16,18:30:00,14.6719,80.029,,,,
04/06/16,18:45:00,14.6738,79.853,,,,
04/06/16,19:00:00,14.6738,79.853,,,,
04/06/16,19:15:00,14.6738,79.853,,,,
04/06/16,19:30:00,14.6738,79.853,,,,
04/06/16,19:45:00,14.6761,79.853,,,,
04/06/16,20:00:00,14.6713,79.853,,,,
04/06/16,20:15:00,14.6707,79.678,,,,
04/06/16,20:30:00,14.6732,79.678,,,,
04/06/16,20:45:00,14.6780,79.678,,,,
04/06/16,21:00:00,14.6854,79.678,,,,
04/06/16,21:15:00,14.6829,79.678,,,,
04/06/16,21:30:00,14.6804,79.678,,,,
04/06/16,21:45:00,14.6829,79.678,,,,
04/06/16,22:00:00,14.6829,79.678,,,,
04/06/16,22:15:00,14.6755,79.678,,,,
04/06/16,22:30:00,14.6780,79.678,,,,
04/06/16,22:45:00,14.6755,79.678,,,,
04/06/16,23:00:00,14.6732,79.678,,,,
04/06/16,23:15:00,14.6732,79.678,,,,
04/06/16,23:30:00,14.6732,79.678,,,,
04/06/16,23:45:00,14.6682,79.678,,,,
04/07/16,00:00:00,14.6658,79.678,,,,
04/07/16,00:15:00,14.6608,79.678,,,,
04/07/16,00:30:00,14.6536,79.678,,,,
04/07/16,00:45:00,14.6487,79.678,,,,
04/07/16,01:00:00,14.6462,79.678,,,,
04/07/16,01:15:00,14.6439,79.678,,,,
04/07/16,01:30:00,14.6439,79.678,,,,
04/07/16,01:45:00,14.6389,79.678,,,,
04/07/16,02:00:00,14.6365,79.678,,,,
04/07/16,02:15:00,14.6340,79.678,,,,
04/07/16,02:30:00,14.6340,79.678,,,,
